repository,notD_num_code_files,notD_total_lines_of_code,notD_num_modules,notD_pretrained_models,notD_shell_scripts,notD_lists_in_readme,notD_code_blocks_in_readme,notD_inline_code_in_readme,notD_images_in_readme,notD_github_links_in_readme,notD_has_license,notD_diversity,notD_total_contributors,notD_Num_Star,notD_Num_Fork,notD_Num_Watcher,Date_Created,Date_Last_Mod,notD_Num_Issue,notD_Num_Issue_Type,notD_Num_Issue_Open,notD_Num_Issue_Closed,notD_Num_PR_Open,notD_Num_PR_Closed,language,,repository,D_num_code_files,D_total_lines_of_code,D_num_modules,D_pretrained_models,D_shell_scripts,D_lists_in_readme,D_code_blocks_in_readme,D_inline_code_in_readme,D_images_in_readme,D_github_links_in_readme,D_has_license,D_diversity,D_total_contributors,D_Num_Star,D_Num_Fork,D_Num_Watcher,Date_Created,Date_Last_Mod,D_Num_Issue,D_Num_Issue_Type,D_Num_Issue_Open,D_Num_Issue_Closed,D_Num_PR_Open,D_Num_PR_Closed,D_language
YichenGong/Densely-Interactive-Inference-Network,23,5207,2,0,0,4,2,1,0,1,No,not-diverse,2,250,57,7,2017-10-10 18:35:03+00:00,2024-09-05 08:27:43+00:00,13,9,8,5,3,13,Python,,timmeinhardt/trackformer,56,10223,8,0,0,0,6,4,0,4,Yes,diverse,6,541,121,14,2021-02-11 12:03:03+00:00,2025-01-14 03:28:17+00:00,125,9,68,57,0,11,Python
alexnowakvila/DiCoNet,15,2956,2,0,0,4,6,0,4,0,Yes,not-diverse,2,11,8,3,2018-02-21 19:12:36+00:00,2023-05-19 03:00:57+00:00,1,8,1,0,0,0,Python,,automl/nasbench301,108,11018,1,0,0,0,5,6,0,2,Yes,diverse,6,76,22,11,2020-08-10 15:55:08+00:00,2024-12-09 02:58:27+00:00,17,9,3,14,0,5,Python
dibyaghosh/gcsl,240,178976,6,0,0,11,4,0,0,0,No,not-diverse,2,76,9,7,2020-06-10 15:45:16+00:00,2024-09-01 08:28:00+00:00,8,9,7,1,1,1,Python,,williamleif/GraphSAGE,16,2874,3,0,2,11,0,5,0,3,No,diverse,6,3457,846,78,2017-05-29 15:36:22+00:00,2025-01-12 04:41:49+00:00,166,8,107,59,13,22,Python
MichaelArbel/GeneralizedEBM,22,6958,4,0,1,11,9,0,4,0,Yes,not-diverse,2,53,6,3,2020-06-16 14:11:47+00:00,2024-11-19 17:25:45+00:00,0,10,0,0,2,0,Python,,Zhongdao/Towards-Realtime-MOT,19,3537,6,0,0,21,5,9,0,12,Yes,diverse,6,2406,543,55,2019-09-27 05:09:33+00:00,2025-01-14 07:03:14+00:00,244,9,127,117,2,12,Python
salesforce/PCL,7,1872,2,0,0,5,0,0,0,1,Yes,not-diverse,2,576,84,17,2020-07-28 02:45:07+00:00,2024-12-31 01:12:15+00:00,25,9,8,17,0,0,Python,,MIT-HAN-LAB/temporal-shift-module,27,5606,6,0,0,30,8,7,2,4,Yes,diverse,6,2084,417,42,2019-03-27 22:49:33+00:00,2025-01-13 14:52:56+00:00,220,8,94,126,6,8,Python
PKU-AI-Edge/DGN,9,1895,3,0,0,3,1,0,0,1,No,not-diverse,2,342,88,9,2018-10-22 10:51:44+00:00,2025-01-11 00:09:03+00:00,27,9,19,8,2,9,Python,,bplank/bilstm-aux,14,1822,3,0,0,9,14,22,0,2,Yes,diverse,6,123,46,16,2016-04-19 08:31:53+00:00,2024-11-22 06:12:29+00:00,9,8,0,9,2,12,Python
authors-1901-10912/A-Meta-Transfer-Objective-For-Learning-To-Disentangle-Causal-Mechanisms,22,1590,3,0,0,0,2,3,0,0,No,not-diverse,2,125,22,2,2019-01-31 10:33:04+00:00,2024-10-31 03:05:11+00:00,1,8,1,0,0,0,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParthaEth/Regularized_autoencoders-RAE-,72,5626,8,0,0,23,3,34,1,0,No,not-diverse,2,122,14,4,2020-02-14 19:48:13+00:00,2024-12-29 18:34:21+00:00,3,10,3,0,10,25,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
dmzou/RSRAE,3,554,2,0,0,4,2,0,0,0,No,not-diverse,2,38,8,1,2019-12-21 05:21:51+00:00,2024-11-14 07:26:24+00:00,8,9,1,7,0,1,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wensi-Tang/OS-CNN,16,1461,11,0,0,0,0,10,0,2,No,not-diverse,2,137,24,3,2020-02-23 01:02:38+00:00,2024-12-09 06:42:30+00:00,18,9,4,14,0,2,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,
